business_type,item_name,date,price,shelf_life_hours,quantity_available,quantity_sold,customer_demand,waste_quantity,weather_condition,holiday_flag
Cafe,Croissant,2025-06-05,30,12.0,42,39,39,3,Clear,0
Cafe,Sandwich,2025-06-05,45,8.0,44,40,40,4,Clear,0
Bakery,White Bread,2025-06-05,20,24.0,52,52,53,0,Clear,0
Bakery,Croissants,2025-06-05,30,12.0,44,40,40,4,Clear,0
Bakery,Donuts,2025-06-05,15,12.0,75,54,54,21,Clear,0
Bakery,Cake Slice,2025-06-05,40,48.0,28,28,28,0,Clear,0
Bakery,Cookies,2025-06-05,10,72.0,49,38,38,11,Clear,0
Cafe,Espresso,2025-06-06,25,0.5,66,66,66,0,Rainy,0
Cafe,Cappuccino,2025-06-06,35,0.5,84,84,90,0,Rainy,0
Cafe,Latte,2025-06-06,40,0.5,79,65,65,14,Rainy,0
Cafe,Croissant,2025-06-06,30,12.0,51,47,47,4,Rainy,0
Cafe,Sandwich,2025-06-06,45,8.0,57,57,61,0,Rainy,0
Bakery,White Bread,2025-06-06,20,24.0,50,38,38,12,Rainy,0
Bakery,Croissants,2025-06-06,30,12.0,39,35,35,4,Rainy,0
Bakery,Donuts,2025-06-06,15,12.0,66,62,62,4,Rainy,0
Bakery,Cake Slice,2025-06-06,40,48.0,23,23,23,0,Rainy,0
Bakery,Cookies,2025-06-06,10,72.0,46,36,36,10,Rainy,0
Cafe,Espresso,2025-06-07,25,0.5,49,41,41,8,Clear,0
Cafe,Cappuccino,2025-06-07,35,0.5,61,61,63,0,Clear,0
Cafe,Latte,2025-06-07,40,0.5,54,54,63,0,Clear,0
Cafe,Croissant,2025-06-07,30,12.0,38,31,31,7,Clear,0
Cafe,Sandwich,2025-06-07,45,8.0,40,36,36,4,Clear,0
Bakery,White Bread,2025-06-07,20,24.0,83,61,61,22,Clear,0
Bakery,Croissants,2025-06-07,30,12.0,71,60,60,11,Clear,0
Bakery,Donuts,2025-06-07,15,12.0,95,82,82,13,Clear,0
Bakery,Cake Slice,2025-06-07,40,48.0,47,34,34,13,Clear,0
Bakery,Cookies,2025-06-07,10,72.0,72,68,68,4,Clear,0
Cafe,Espresso,2025-06-08,25,0.5,47,47,48,0,Clear,0
Cafe,Cappuccino,2025-06-08,35,0.5,58,58,64,0,Clear,0
Cafe,Latte,2025-06-08,40,0.5,55,55,57,0,Clear,0
Cafe,Croissant,2025-06-08,30,12.0,36,35,35,1,Clear,0
Cafe,Sandwich,2025-06-08,45,8.0,38,38,44,0,Clear,0
Bakery,White Bread,2025-06-08,20,24.0,84,66,66,18,Clear,0
Bakery,Croissants,2025-06-08,30,12.0,63,63,63,0,Clear,0
Bakery,Donuts,2025-06-08,15,12.0,108,73,73,35,Clear,0
Bakery,Cake Slice,2025-06-08,40,48.0,43,34,34,9,Clear,0
Bakery,Cookies,2025-06-08,10,72.0,80,59,59,21,Clear,0
Cafe,Espresso,2025-06-09,25,0.5,57,45,45,12,Clear,0
Cafe,Cappuccino,2025-06-09,35,0.5,70,60,60,10,Clear,0
Cafe,Latte,2025-06-09,40,0.5,70,70,72,0,Clear,0
Cafe,Croissant,2025-06-09,30,12.0,40,40,43,0,Clear,0
Cafe,Sandwich,2025-06-09,45,8.0,50,47,47,3,Clear,0
Bakery,White Bread,2025-06-09,20,24.0,58,45,45,13,Clear,0
Bakery,Croissants,2025-06-09,30,12.0,43,43,47,0,Clear,0
Bakery,Donuts,2025-06-09,15,12.0,75,64,64,11,Clear,0
Bakery,Cake Slice,2025-06-09,40,48.0,28,24,24,4,Clear,0
Bakery,Cookies,2025-06-09,10,72.0,54,52,52,2,Clear,0
Cafe,Espresso,2025-06-10,25,0.5,55,44,44,11,Clear,0
Cafe,Cappuccino,2025-06-10,35,0.5,68,68,79,0,Clear,0
Cafe,Latte,2025-06-10,40,0.5,67,52,52,15,Clear,0
Cafe,Croissant,2025-06-10,30,12.0,39,39,43,0,Clear,0
Cafe,Sandwich,2025-06-10,45,8.0,44,41,41,3,Clear,0
Bakery,White Bread,2025-06-10,20,24.0,58,54,54,4,Clear,0
Bakery,Croissants,2025-06-10,30,12.0,48,36,36,12,Clear,0
Bakery,Donuts,2025-06-10,15,12.0,72,54,54,18,Clear,0
Bakery,Cake Slice,2025-06-10,40,48.0,28,28,28,0,Clear,0
Bakery,Cookies,2025-06-10,10,72.0,54,52,52,2,Clear,0
Cafe,Espresso,2025-06-11,25,0.5,50,50,50,0,Clear,0
Cafe,Cappuccino,2025-06-11,35,0.5,69,63,63,6,Clear,0
Cafe,Latte,2025-06-11,40,0.5,71,61,61,10,Clear,0
Cafe,Croissant,2025-06-11,30,12.0,44,42,42,2,Clear,0
Cafe,Sandwich,2025-06-11,45,8.0,50,46,46,4,Clear,0
Bakery,White Bread,2025-06-11,20,24.0,59,50,50,9,Clear,0
Bakery,Croissants,2025-06-11,30,12.0,44,44,44,0,Clear,0
Bakery,Donuts,2025-06-11,15,12.0,67,49,49,18,Clear,0
Bakery,Cake Slice,2025-06-11,40,48.0,30,22,22,8,Clear,0
Bakery,Cookies,2025-06-11,10,72.0,57,54,54,3,Clear,0
Cafe,Espresso,2025-06-12,25,0.5,50,50,60,0,Clear,0
Cafe,Cappuccino,2025-06-12,35,0.5,71,71,81,0,Clear,0
Cafe,Latte,2025-06-12,40,0.5,71,71,72,0,Clear,0
Cafe,Croissant,2025-06-12,30,12.0,40,39,39,1,Clear,0
Cafe,Sandwich,2025-06-12,45,8.0,50,43,43,7,Clear,0
Bakery,White Bread,2025-06-12,20,24.0,54,52,52,2,Clear,0
Bakery,Croissants,2025-06-12,30,12.0,50,44,44,6,Clear,0
Bakery,Donuts,2025-06-12,15,12.0,71,51,51,20,Clear,0
Bakery,Cake Slice,2025-06-12,40,48.0,30,30,30,0,Clear,0
Bakery,Cookies,2025-06-12,10,72.0,48,46,46,2,Clear,0
Cafe,Espresso,2025-06-13,25,0.5,56,56,56,0,Clear,0
Cafe,Cappuccino,2025-06-13,35,0.5,70,64,64,6,Clear,0
Cafe,Latte,2025-06-13,40,0.5,69,69,71,0,Clear,0
Cafe,Croissant,2025-06-13,30,12.0,44,44,47,0,Clear,0
Cafe,Sandwich,2025-06-13,45,8.0,48,46,46,2,Clear,0
Bakery,White Bread,2025-06-13,20,24.0,62,54,54,8,Clear,0
Bakery,Croissants,2025-06-13,30,12.0,48,45,45,3,Clear,0
Bakery,Donuts,2025-06-13,15,12.0,75,57,57,18,Clear,0
Bakery,Cake Slice,2025-06-13,40,48.0,28,21,21,7,Clear,0
Bakery,Cookies,2025-06-13,10,72.0,53,37,37,16,Clear,0
Cafe,Espresso,2025-06-14,25,0.5,44,44,46,0,Clear,0
Cafe,Cappuccino,2025-06-14,35,0.5,56,49,49,7,Clear,0
Cafe,Latte,2025-06-14,40,0.5,59,52,52,7,Clear,0
Cafe,Croissant,2025-06-14,30,12.0,33,33,35,0,Clear,0
Cafe,Sandwich,2025-06-14,45,8.0,42,35,35,7,Clear,0
Bakery,White Bread,2025-06-14,20,24.0,89,63,63,26,Clear,0
Bakery,Croissants,2025-06-14,30,12.0,63,61,61,2,Clear,0
Bakery,Donuts,2025-06-14,15,12.0,105,96,96,9,Clear,0
Bakery,Cake Slice,2025-06-14,40,48.0,46,45,45,1,Clear,0
Bakery,Cookies,2025-06-14,10,72.0,79,63,63,16,Clear,0
Cafe,Espresso,2025-06-15,25,0.5,45,38,38,7,Clear,0
Cafe,Cappuccino,2025-06-15,35,0.5,56,56,69,0,Clear,0
Cafe,Latte,2025-06-15,40,0.5,59,58,58,1,Clear,0
Cafe,Croissant,2025-06-15,30,12.0,35,31,31,4,Clear,0
Cafe,Sandwich,2025-06-15,45,8.0,38,36,36,2,Clear,0
Bakery,White Bread,2025-06-15,20,24.0,88,82,82,6,Clear,0
Bakery,Croissants,2025-06-15,30,12.0,72,55,55,17,Clear,0
Bakery,Donuts,2025-06-15,15,12.0,114,100,100,14,Clear,0
Bakery,Cake Slice,2025-06-15,40,48.0,44,40,40,4,Clear,0
Bakery,Cookies,2025-06-15,10,72.0,77,61,61,16,Clear,0
Cafe,Espresso,2025-06-16,25,0.5,50,45,45,5,Clear,0
Cafe,Cappuccino,2025-06-16,35,0.5,67,58,58,9,Clear,0
Cafe,Latte,2025-06-16,40,0.5,70,69,69,1,Clear,0
Cafe,Croissant,2025-06-16,30,12.0,42,35,35,7,Clear,0
Cafe,Sandwich,2025-06-16,45,8.0,48,46,46,2,Clear,0
Bakery,White Bread,2025-06-16,20,24.0,54,49,49,5,Clear,0
Bakery,Croissants,2025-06-16,30,12.0,46,42,42,4,Clear,0
Bakery,Donuts,2025-06-16,15,12.0,72,50,50,22,Clear,0
Bakery,Cake Slice,2025-06-16,40,48.0,28,27,27,1,Clear,0
Bakery,Cookies,2025-06-16,10,72.0,52,52,52,0,Clear,0
Cafe,Espresso,2025-06-17,25,0.5,58,58,63,0,Rainy,0
Cafe,Cappuccino,2025-06-17,35,0.5,77,77,83,0,Rainy,0
Cafe,Latte,2025-06-17,40,0.5,81,76,76,5,Rainy,0
Cafe,Croissant,2025-06-17,30,12.0,47,47,49,0,Rainy,0
Cafe,Sandwich,2025-06-17,45,8.0,55,54,54,1,Rainy,0
Bakery,White Bread,2025-06-17,20,24.0,57,43,43,14,Rainy,0
Bakery,Croissants,2025-06-17,30,12.0,46,42,42,4,Rainy,0
Bakery,Donuts,2025-06-17,15,12.0,59,45,45,14,Rainy,0
Bakery,Cake Slice,2025-06-17,40,48.0,24,18,18,6,Rainy,0
Bakery,Cookies,2025-06-17,10,72.0,43,43,44,0,Rainy,0
Cafe,Espresso,2025-06-18,25,0.5,57,43,43,14,Clear,0
Cafe,Cappuccino,2025-06-18,35,0.5,76,64,64,12,Clear,0
Cafe,Latte,2025-06-18,40,0.5,62,62,69,0,Clear,0
Cafe,Croissant,2025-06-18,30,12.0,43,43,46,0,Clear,0
Cafe,Sandwich,2025-06-18,45,8.0,50,50,52,0,Clear,0
Bakery,White Bread,2025-06-18,20,24.0,56,44,44,12,Clear,0
Bakery,Croissants,2025-06-18,30,12.0,49,46,46,3,Clear,0
Bakery,Donuts,2025-06-18,15,12.0,77,59,59,18,Clear,0
Bakery,Cake Slice,2025-06-18,40,48.0,28,28,28,0,Clear,0
Bakery,Cookies,2025-06-18,10,72.0,51,51,53,0,Clear,0
Cafe,Espresso,2025-06-19,25,0.5,56,56,57,0,Clear,0
Cafe,Cappuccino,2025-06-19,35,0.5,68,68,80,0,Clear,0
Cafe,Latte,2025-06-19,40,0.5,66,66,72,0,Clear,0
Cafe,Croissant,2025-06-19,30,12.0,41,41,47,0,Clear,0
Cafe,Sandwich,2025-06-19,45,8.0,47,38,38,9,Clear,0
Bakery,White Bread,2025-06-19,20,24.0,63,42,42,21,Clear,0
Bakery,Croissants,2025-06-19,30,12.0,45,45,48,0,Clear,0
Bakery,Donuts,2025-06-19,15,12.0,76,63,63,13,Clear,0
Bakery,Cake Slice,2025-06-19,40,48.0,30,25,25,5,Clear,0
Bakery,Cookies,2025-06-19,10,72.0,50,43,43,7,Clear,0
Cafe,Espresso,2025-06-20,25,0.5,57,57,58,0,Clear,0
Cafe,Cappuccino,2025-06-20,35,0.5,67,67,70,0,Clear,0
Cafe,Latte,2025-06-20,40,0.5,61,61,65,0,Clear,0
Cafe,Croissant,2025-06-20,30,12.0,42,42,47,0,Clear,0
Cafe,Sandwich,2025-06-20,45,8.0,47,40,40,7,Clear,0
Bakery,White Bread,2025-06-20,20,24.0,54,54,56,0,Clear,0
Bakery,Croissants,2025-06-20,30,12.0,48,34,34,14,Clear,0
Bakery,Donuts,2025-06-20,15,12.0,64,64,66,0,Clear,0
Bakery,Cake Slice,2025-06-20,40,48.0,27,27,29,0,Clear,0
Bakery,Cookies,2025-06-20,10,72.0,55,38,38,17,Clear,0
Cafe,Espresso,2025-06-21,25,0.5,45,43,43,2,Clear,0
Cafe,Cappuccino,2025-06-21,35,0.5,64,64,69,0,Clear,0
Cafe,Latte,2025-06-21,40,0.5,61,60,60,1,Clear,0
Cafe,Croissant,2025-06-21,30,12.0,35,30,30,5,Clear,0
Cafe,Sandwich,2025-06-21,45,8.0,43,41,41,2,Clear,0
Bakery,White Bread,2025-06-21,20,24.0,86,86,89,0,Clear,0
Bakery,Croissants,2025-06-21,30,12.0,65,61,61,4,Clear,0
Bakery,Donuts,2025-06-21,15,12.0,95,90,90,5,Clear,0
Bakery,Cake Slice,2025-06-21,40,48.0,40,32,32,8,Clear,0
Bakery,Cookies,2025-06-21,10,72.0,73,73,73,0,Clear,0
Cafe,Espresso,2025-06-22,25,0.5,49,43,43,6,Clear,0
Cafe,Cappuccino,2025-06-22,35,0.5,59,59,68,0,Clear,0
Cafe,Latte,2025-06-22,40,0.5,54,54,64,0,Clear,0
Cafe,Croissant,2025-06-22,30,12.0,33,33,41,0,Clear,0
Cafe,Sandwich,2025-06-22,45,8.0,38,38,45,0,Clear,0
Bakery,White Bread,2025-06-22,20,24.0,88,88,91,0,Clear,0
Bakery,Croissants,2025-06-22,30,12.0,64,62,62,2,Clear,0
Bakery,Donuts,2025-06-22,15,12.0,115,92,92,23,Clear,0
Bakery,Cake Slice,2025-06-22,40,48.0,45,41,41,4,Clear,0
Bakery,Cookies,2025-06-22,10,72.0,78,72,72,6,Clear,0
Cafe,Espresso,2025-06-23,25,0.5,50,49,49,1,Clear,0
Cafe,Cappuccino,2025-06-23,35,0.5,78,78,80,0,Clear,0
Cafe,Latte,2025-06-23,40,0.5,66,66,67,0,Clear,0
Cafe,Croissant,2025-06-23,30,12.0,41,36,36,5,Clear,0
Cafe,Sandwich,2025-06-23,45,8.0,48,44,44,4,Clear,0
Bakery,White Bread,2025-06-23,20,24.0,59,42,42,17,Clear,0
Bakery,Croissants,2025-06-23,30,12.0,51,49,49,2,Clear,0
Bakery,Donuts,2025-06-23,15,12.0,73,62,62,11,Clear,0
Bakery,Cake Slice,2025-06-23,40,48.0,28,28,29,0,Clear,0
Bakery,Cookies,2025-06-23,10,72.0,55,40,40,15,Clear,0
Cafe,Espresso,2025-06-24,25,0.5,58,57,57,1,Clear,0
Cafe,Cappuccino,2025-06-24,35,0.5,74,68,68,6,Clear,0
Cafe,Latte,2025-06-24,40,0.5,71,71,73,0,Clear,0
Cafe,Croissant,2025-06-24,30,12.0,39,34,34,5,Clear,0
Cafe,Sandwich,2025-06-24,45,8.0,47,47,52,0,Clear,0
Bakery,White Bread,2025-06-24,20,24.0,64,44,44,20,Clear,0
Bakery,Croissants,2025-06-24,30,12.0,48,39,39,9,Clear,0
Bakery,Donuts,2025-06-24,15,12.0,77,69,69,8,Clear,0
Bakery,Cake Slice,2025-06-24,40,48.0,31,25,25,6,Clear,0
Bakery,Cookies,2025-06-24,10,72.0,52,42,42,10,Clear,0
Cafe,Espresso,2025-06-25,25,0.5,57,57,62,0,Clear,0
Cafe,Cappuccino,2025-06-25,35,0.5,78,72,72,6,Clear,0
Cafe,Latte,2025-06-25,40,0.5,69,69,75,0,Clear,0
Cafe,Croissant,2025-06-25,30,12.0,45,37,37,8,Clear,0
Cafe,Sandwich,2025-06-25,45,8.0,48,41,41,7,Clear,0
Bakery,White Bread,2025-06-25,20,24.0,64,53,53,11,Clear,0
Bakery,Croissants,2025-06-25,30,12.0,44,44,44,0,Clear,0
Bakery,Donuts,2025-06-25,15,12.0,72,58,58,14,Clear,0
Bakery,Cake Slice,2025-06-25,40,48.0,27,27,27,0,Clear,0
Bakery,Cookies,2025-06-25,10,72.0,53,51,51,2,Clear,0
Cafe,Espresso,2025-06-26,25,0.5,55,54,54,1,Clear,0
Cafe,Cappuccino,2025-06-26,35,0.5,77,68,68,9,Clear,0
Cafe,Latte,2025-06-26,40,0.5,63,54,54,9,Clear,0
Cafe,Croissant,2025-06-26,30,12.0,44,43,43,1,Clear,0
Cafe,Sandwich,2025-06-26,45,8.0,50,42,42,8,Clear,0
Bakery,White Bread,2025-06-26,20,24.0,54,41,41,13,Clear,0
Bakery,Croissants,2025-06-26,30,12.0,46,42,42,4,Clear,0
Bakery,Donuts,2025-06-26,15,12.0,69,60,60,9,Clear,0
Bakery,Cake Slice,2025-06-26,40,48.0,32,24,24,8,Clear,0
Bakery,Cookies,2025-06-26,10,72.0,53,51,51,2,Clear,0
Cafe,Espresso,2025-06-27,25,0.5,58,58,61,0,Clear,0
Cafe,Cappuccino,2025-06-27,35,0.5,68,68,81,0,Clear,0
Cafe,Latte,2025-06-27,40,0.5,66,59,59,7,Clear,0
Cafe,Croissant,2025-06-27,30,12.0,42,42,48,0,Clear,0
Cafe,Sandwich,2025-06-27,45,8.0,48,44,44,4,Clear,0
Bakery,White Bread,2025-06-27,20,24.0,60,46,46,14,Clear,0
Bakery,Croissants,2025-06-27,30,12.0,43,35,35,8,Clear,0
Bakery,Donuts,2025-06-27,15,12.0,65,53,53,12,Clear,0
Bakery,Cake Slice,2025-06-27,40,48.0,27,27,27,0,Clear,0
Bakery,Cookies,2025-06-27,10,72.0,49,43,43,6,Clear,0
Cafe,Espresso,2025-06-28,25,0.5,48,40,40,8,Clear,0
Cafe,Cappuccino,2025-06-28,35,0.5,59,50,50,9,Clear,0
Cafe,Latte,2025-06-28,40,0.5,54,51,51,3,Clear,0
Cafe,Croissant,2025-06-28,30,12.0,34,30,30,4,Clear,0
Cafe,Sandwich,2025-06-28,45,8.0,39,39,39,0,Clear,0
Bakery,White Bread,2025-06-28,20,24.0,83,72,72,11,Clear,0
Bakery,Croissants,2025-06-28,30,12.0,71,66,66,5,Clear,0
Bakery,Donuts,2025-06-28,15,12.0,96,96,103,0,Clear,0
Bakery,Cake Slice,2025-06-28,40,48.0,45,32,32,13,Clear,0
Bakery,Cookies,2025-06-28,10,72.0,85,81,81,4,Clear,0
Cafe,Espresso,2025-06-29,25,0.5,49,49,49,0,Clear,0
Cafe,Cappuccino,2025-06-29,35,0.5,59,54,54,5,Clear,0
Cafe,Latte,2025-06-29,40,0.5,55,55,55,0,Clear,0
Cafe,Croissant,2025-06-29,30,12.0,37,33,33,4,Clear,0
Cafe,Sandwich,2025-06-29,45,8.0,41,41,44,0,Clear,0
Bakery,White Bread,2025-06-29,20,24.0,80,69,69,11,Clear,0
Bakery,Croissants,2025-06-29,30,12.0,74,71,71,3,Clear,0
Bakery,Donuts,2025-06-29,15,12.0,106,93,93,13,Clear,0
Bakery,Cake Slice,2025-06-29,40,48.0,41,38,38,3,Clear,0
Bakery,Cookies,2025-06-29,10,72.0,80,62,62,18,Clear,0
Cafe,Espresso,2025-06-30,25,0.5,50,50,50,0,Clear,0
Cafe,Cappuccino,2025-06-30,35,0.5,69,66,66,3,Clear,0
Cafe,Latte,2025-06-30,40,0.5,63,63,74,0,Clear,0
Cafe,Croissant,2025-06-30,30,12.0,43,43,44,0,Clear,0
Cafe,Sandwich,2025-06-30,45,8.0,51,47,47,4,Clear,0
Bakery,White Bread,2025-06-30,20,24.0,54,52,52,2,Clear,0
Bakery,Croissants,2025-06-30,30,12.0,48,45,45,3,Clear,0
Bakery,Donuts,2025-06-30,15,12.0,70,52,52,18,Clear,0
Bakery,Cake Slice,2025-06-30,40,48.0,28,24,24,4,Clear,0
Bakery,Cookies,2025-06-30,10,72.0,54,47,47,7,Clear,0
Cafe,Espresso,2025-07-01,25,0.5,53,46,46,7,Clear,0
Cafe,Cappuccino,2025-07-01,35,0.5,65,59,59,6,Clear,0
Cafe,Latte,2025-07-01,40,0.5,61,54,54,7,Clear,0
Cafe,Croissant,2025-07-01,30,12.0,39,36,36,3,Clear,0
Cafe,Sandwich,2025-07-01,45,8.0,44,44,51,0,Clear,0
Bakery,White Bread,2025-07-01,20,24.0,57,54,54,3,Clear,0
Bakery,Croissants,2025-07-01,30,12.0,49,49,51,0,Clear,0
Bakery,Donuts,2025-07-01,15,12.0,68,62,62,6,Clear,0
Bakery,Cake Slice,2025-07-01,40,48.0,34,31,31,3,Clear,0
Bakery,Cookies,2025-07-01,10,72.0,59,44,44,15,Clear,0
Cafe,Espresso,2025-07-02,25,0.5,56,52,52,4,Clear,0
Cafe,Cappuccino,2025-07-02,35,0.5,70,62,62,8,Clear,0
Cafe,Latte,2025-07-02,40,0.5,67,55,55,12,Clear,0
Cafe,Croissant,2025-07-02,30,12.0,39,38,38,1,Clear,0
Cafe,Sandwich,2025-07-02,45,8.0,47,41,41,6,Clear,0
Bakery,White Bread,2025-07-02,20,24.0,57,56,56,1,Clear,0
Bakery,Croissants,2025-07-02,30,12.0,47,44,44,3,Clear,0
Bakery,Donuts,2025-07-02,15,12.0,69,64,64,5,Clear,0
Bakery,Cake Slice,2025-07-02,40,48.0,31,22,22,9,Clear,0
Bakery,Cookies,2025-07-02,10,72.0,54,41,41,13,Clear,0
Cafe,Espresso,2025-07-03,25,0.5,51,51,56,0,Clear,0
Cafe,Cappuccino,2025-07-03,35,0.5,67,67,72,0,Clear,0
Cafe,Latte,2025-07-03,40,0.5,67,64,64,3,Clear,0
Cafe,Croissant,2025-07-03,30,12.0,40,38,38,2,Clear,0
Cafe,Sandwich,2025-07-03,45,8.0,45,45,52,0,Clear,0
Bakery,White Bread,2025-07-03,20,24.0,66,64,64,2,Clear,0
Bakery,Croissants,2025-07-03,30,12.0,46,46,47,0,Clear,0
Bakery,Donuts,2025-07-03,15,12.0,81,56,56,25,Clear,0
Bakery,Cake Slice,2025-07-03,40,48.0,28,28,30,0,Clear,0
Bakery,Cookies,2025-07-03,10,72.0,57,55,55,2,Clear,0
Cafe,Espresso,2025-07-04,25,0.5,50,45,45,5,Clear,0
Cafe,Cappuccino,2025-07-04,35,0.5,66,66,75,0,Clear,0
Cafe,Latte,2025-07-04,40,0.5,66,63,63,3,Clear,0
Cafe,Croissant,2025-07-04,30,12.0,40,40,45,0,Clear,0
Cafe,Sandwich,2025-07-04,45,8.0,46,46,50,0,Clear,0
Bakery,White Bread,2025-07-04,20,24.0,61,51,51,10,Clear,0
Bakery,Croissants,2025-07-04,30,12.0,49,40,40,9,Clear,0
Bakery,Donuts,2025-07-04,15,12.0,78,65,65,13,Clear,0
Bakery,Cake Slice,2025-07-04,40,48.0,29,29,31,0,Clear,0
Bakery,Cookies,2025-07-04,10,72.0,54,49,49,5,Clear,0
Cafe,Espresso,2025-07-05,25,0.5,42,42,50,0,Clear,0
Cafe,Cappuccino,2025-07-05,35,0.5,61,54,54,7,Clear,0
Cafe,Latte,2025-07-05,40,0.5,51,51,58,0,Clear,0
Cafe,Croissant,2025-07-05,30,12.0,35,34,34,1,Clear,0
Cafe,Sandwich,2025-07-05,45,8.0,42,42,42,0,Clear,0
Bakery,White Bread,2025-07-05,20,24.0,87,75,75,12,Clear,0
Bakery,Croissants,2025-07-05,30,12.0,71,71,71,0,Clear,0
Bakery,Donuts,2025-07-05,15,12.0,101,100,100,1,Clear,0
Bakery,Cake Slice,2025-07-05,40,48.0,49,47,47,2,Clear,0
Bakery,Cookies,2025-07-05,10,72.0,81,81,82,0,Clear,0
Cafe,Espresso,2025-07-06,25,0.5,42,42,42,0,Clear,0
Cafe,Cappuccino,2025-07-06,35,0.5,62,50,50,12,Clear,0
Cafe,Latte,2025-07-06,40,0.5,52,52,57,0,Clear,0
Cafe,Croissant,2025-07-06,30,12.0,36,35,35,1,Clear,0
Cafe,Sandwich,2025-07-06,45,8.0,41,39,39,2,Clear,0
Bakery,White Bread,2025-07-06,20,24.0,88,76,76,12,Clear,0
Bakery,Croissants,2025-07-06,30,12.0,70,70,75,0,Clear,0
Bakery,Donuts,2025-07-06,15,12.0,114,93,93,21,Clear,0
Bakery,Cake Slice,2025-07-06,40,48.0,46,46,48,0,Clear,0
Bakery,Cookies,2025-07-06,10,72.0,78,75,75,3,Clear,0
Cafe,Espresso,2025-07-07,25,0.5,48,48,58,0,Clear,0
Cafe,Cappuccino,2025-07-07,35,0.5,75,69,69,6,Clear,0
Cafe,Latte,2025-07-07,40,0.5,66,66,72,0,Clear,0
Cafe,Croissant,2025-07-07,30,12.0,42,35,35,7,Clear,0
Cafe,Sandwich,2025-07-07,45,8.0,47,47,47,0,Clear,0
Bakery,White Bread,2025-07-07,20,24.0,61,59,59,2,Clear,0
Bakery,Croissants,2025-07-07,30,12.0,54,51,51,3,Clear,0
Bakery,Donuts,2025-07-07,15,12.0,74,55,55,19,Clear,0
Bakery,Cake Slice,2025-07-07,40,48.0,34,31,31,3,Clear,0
Bakery,Cookies,2025-07-07,10,72.0,52,52,57,0,Clear,0
